customer_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code
d3b658f59ad9bbf6249a7bf0db722f2f43cc47803d03299a3feb24487f1b6fbe,,,ACTIVE,NONE,72.0,da477e6d8c015e8d89487ae038b1be611c05283400825207db62ce6e54abc1b0
72529945a566eb7445e51470ef00c5992976ddaf7d9f82bd0dbb38228c0b244b,,,ACTIVE,NONE,41.0,c9d1dd747df26b6fd8a8d682f1f0ed3db12bfc7041e49afca8e66ee2ca97ce80
d1c91a9050fcb6da04f0643c6b6d38b002b6ff12d66e804de258f69825b02fca,,,ACTIVE,NONE,22.0,760fd89d83df7842c04f3a6d68265270bc2333c43cabf74534ced24f1c05d73d
7bad01c1ad7a9bccc9270a29bf24279b4e19b41afc1b4a605bc18e1668f9fb35,1.0,,ACTIVE,Regularly,24.0,032fdbc74a7144e1bcbc2addc9d5c8a0d8f39223754aacabe8af867966d62eb6
4b889f848f59f9bf787b16626f96d0390c3f9ab3ed3edcc8ccc7a451d5acae10,,,ACTIVE,NONE,56.0,a0f3f7d2ae3b89be98d44524b3a6743c1916986e507ef9c60fdc39a720035062
ecec63e8840393e2087453b86c5967c2e8f9ddf66d07348881206d45afdc65e9,1.0,1.0,ACTIVE,Regularly,44.0,1fb9feb103dc2c9156ec12c3fb55ffcc356c7a84ed315bd26226ee064bbae536
f0285b6740a766bfbd3b385cec6f8f8d10ec697eed122017e1d7a37000ce33c6,1.0,1.0,ACTIVE,Regularly,19.0,cc6ee28319b78ab7e1c4310e3fd76635adc59e20bf974d869869b96c67ff39a2
bdab743dbdeb4b7cfde5aaf3f0c9d3a89d2be20a8d5428fda9428fa4ceff700a,,,ACTIVE,NONE,36.0,c7d16c8c4e57991e8149091db64cfae9bb76c1b70c921fd9e8537cce5d39c060
83ad3a5e70c49c438221f67cc28825ace927764632d78b8bb1a83f70c24141ac,,,ACTIVE,NONE,28.0,40167a069973947344b12d3ef248f46df52814533da3692952a08f8917b227ab
40b102e28c4e71ca4b2fc5d97699ddeac269be90c9ef0123d3a5d28e62ba4247,,,ACTIVE,NONE,34.0,c52d5508dc1f873e31f3821c081b9dfe8b3270fce62ccc0215039c65aa9e9c9a
3cbf697fe7b298905b846a5ac253f8d82147b41f98b4d17ac2a11f0a3d9beda8,1.0,1.0,ACTIVE,Regularly,53.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
79199c2f722a88abc0bf69410910a302b062893b29608647c34a4cdf38fd7fd7,,,ACTIVE,NONE,23.0,3f8a7691bc6fade504c92b03a744d647fa6976a27384e97f93ec65eac384b0e0
386b8cab6637d3159758c999a3d52caf68ec024297652bdf60a63da78bdc7aa0,,,ACTIVE,NONE,47.0,056652c82774e230a836ac40390ad8e8d86653e6b14c02bd40e754445f2232d5
a893f3ce07a7b75204fcd710dba5b589212e927dc594027d4fe0dd40d2f5cacc,1.0,1.0,ACTIVE,Regularly,70.0,ce68361ad3da96017d186941e2ed7cc2dccb70de4618195a3c10cf6e78d65b28
995dd3c210578224bdc6042af5da38fad85e46afdd4f770bfad08a2f21a11a9a,,,ACTIVE,NONE,72.0,bc6358799036a52c6686c2e75fcae5b2e0886f49253bca9f827d98bdc4cdf4be
0df50cbaccd0bbd3ffca435197a84998d5334202f2676f67728b132da984b49d,,,ACTIVE,NONE,49.0,cef60bbb36db86444a4342048cce230818f1e8b11447740fafd91bf502e5c656
bed6979e4c947ad451fad7235ffab1e61ad95517e8cf26cb9e9d68a4decc9b5f,1.0,1.0,ACTIVE,Regularly,51.0,2019e0dc88145a126e994790003f1b96da5aa8970b1315bcbe8a90cf57cbb332
7f52372053f4282d546a2b8eb4dfdbf17a5df363e2825a87c6c8a2843872fbda,,,ACTIVE,NONE,51.0,ebbacac5384590a8595be42175335bc1526c43d1d6c0f7a587bec5f6aa16f79b
c020c2dfb076bd6192e555684a86cd3bc1cd0d913fa8aff151118b36a5db11ef,1.0,1.0,ACTIVE,Regularly,26.0,f29e276104943452967b5503e46f4cb62114b044b282ffadb0c5af15721344f2
5f41a174026d69e96bade7f572dfab6b612482a2244e82550885b2de0ec80bbc,1.0,1.0,ACTIVE,NONE,22.0,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
309de68e2003d3944ce891fa38f1f7b190522eb6b63146a0bff941fb8b339be5,,,ACTIVE,NONE,34.0,3bf8b74f328c64148e2c202eacfa92cb02e68eabfacb19d6650bd7c47146fe9d
c417fc91f6eb0c30e9642716898177ffb09198b08c68dd5d94c055df33164556,,,PRE-CREATE,NONE,52.0,06a27a33c59e309fe38333a3388130b564b6036b778cfb5ae97a26340f9bc1f5
4ebc374ba94e41168afa21045514c02559ade68a77b4d47c9d0a4b241b9fbf1d,,,ACTIVE,NONE,56.0,d2dd3adb144b07f148957e91f5381661a005ba54adc5db33645054b2731b99b0
